geocode,Municipio,value
3502507,Aparecida,"0,706"
3503158,Arapeí,"0,612"
3503505,Areias,"0,672"
3504909,Bananal,"0,653"
3508504,Caçapava,"0,755"
3508603,Cachoeira Paulista,"0,728"
3509700,Campos do Jordão,"0,648"
3509957,Canas,"0,677"
3510500,Caraguatatuba,"0,705"
3513405,Cruzeiro,"0,758"
3513603,Cunha,"0,576"
3518404,Guaratinguetá,"0,751"
3520202,Igaratá,"0,616"
3520400,Ilhabela,"0,693"
3524402,Jacareí,"0,749"
3524907,Jambeiro,"0,690"
3526308,Lagoinha,"0,609"
3526605,Lavrinhas,"0,707"
3527207,Lorena,"0,713"
3531704,Monteiro Lobato,"0,627"
3532306,Natividade da Serra,"0,520"
3535606,Paraibuna,"0,642"
3538006,Pindamonhangaba,"0,736"
3538501,Piquete,"0,740"
3540754,Potim,"0,646"
3541901,Queluz,"0,687"
3542305,Redenção da Serra,"0,560"
3544301,Roseira,"0,704"
3546009,Santa Branca,"0,678"
3548203,Santo Antônio do Pinhal,"0,632"
3548609,São Bento do Sapucaí,"0,638"
3549607,São José do Barreiro,"0,591"
3549904,São José dos Campos,"0,764"
3550001,São Luís do Paraitinga,"0,593"
3550704,São Sebastião,"0,703"
3552007,Silveiras,"0,584"
3554102,Taubaté,"0,746"
3554805,Tremembé,"0,720"
3555406,Ubatuba,"0,679"
