geocode,Municipio,value
3502507,Aparecida,-
3503158,Arapeí,-
3503505,Areias,-
3504909,Bananal,-
3508504,Caçapava,-
3508603,Cachoeira Paulista,-
3509700,Campos do Jordão,-
3509957,Canas,-
3510500,Caraguatatuba,-
3513405,Cruzeiro,-
3513603,Cunha,-
3518404,Guaratinguetá,-
3520202,Igaratá,-
3520400,Ilhabela,-
3524402,Jacareí,-
3524907,Jambeiro,-
3526308,Lagoinha,-
3526605,Lavrinhas,-
3527207,Lorena,-
3531704,Monteiro Lobato,-
3532306,Natividade da Serra,-
3535606,Paraibuna,-
3538006,Pindamonhangaba,-
3538501,Piquete,-
3540754,Potim,-
3541901,Queluz,-
3542305,Redenção da Serra,-
3544301,Roseira,-
3546009,Santa Branca,-
3548203,Santo Antônio do Pinhal,-
3548609,São Bento do Sapucaí,-
3549607,São José do Barreiro,-
3549904,São José dos Campos,-
3550001,São Luís do Paraitinga,-
3550704,São Sebastião,-
3552007,Silveiras,-
3554102,Taubaté,-
3554805,Tremembé,-
3555406,Ubatuba,-
