geocode,Municipio,value
3502507,Aparecida,"0,755"
3503158,Arapeí,"0,680"
3503505,Areias,"0,697"
3504909,Bananal,"0,733"
3508504,Caçapava,"0,788"
3508603,Cachoeira Paulista,"0,764"
3509700,Campos do Jordão,"0,749"
3509957,Canas,"0,704"
3510500,Caraguatatuba,"0,759"
3513405,Cruzeiro,"0,788"
3513603,Cunha,"0,684"
3518404,Guaratinguetá,"0,798"
3520202,Igaratá,"0,711"
3520400,Ilhabela,"0,756"
3524402,Jacareí,"0,777"
3524907,Jambeiro,"0,756"
3526308,Lagoinha,"0,693"
3526605,Lavrinhas,"0,729"
3527207,Lorena,"0,766"
3531704,Monteiro Lobato,"0,710"
3532306,Natividade da Serra,"0,655"
3535606,Paraibuna,"0,719"
3538006,Pindamonhangaba,"0,773"
3538501,Piquete,"0,757"
3540754,Potim,"0,697"
3541901,Queluz,"0,722"
3542305,Redenção da Serra,"0,657"
3544301,Roseira,"0,737"
3546009,Santa Branca,"0,735"
3548203,Santo Antônio do Pinhal,"0,706"
3548609,São Bento do Sapucaí,"0,720"
3549607,São José do Barreiro,"0,684"
3549904,São José dos Campos,"0,807"
3550001,São Luís do Paraitinga,"0,697"
3550704,São Sebastião,"0,772"
3552007,Silveiras,"0,678"
3554102,Taubaté,"0,800"
3554805,Tremembé,"0,785"
3555406,Ubatuba,"0,751"
