geocode,Municipio,value
3502507,Aparecida,"0,321"
3503158,Arapeí,"0,319"
3503505,Areias,"0,295"
3504909,Bananal,"0,302"
3508504,Caçapava,"0,336"
3508603,Cachoeira Paulista,"0,307"
3509700,Campos do Jordão,"0,319"
3509957,Canas,"0,274"
3510500,Caraguatatuba,"0,319"
3513405,Cruzeiro,"0,302"
3513603,Cunha,"0,298"
3518404,Guaratinguetá,"0,332"
3520202,Igaratá,"0,143"
3520400,Ilhabela,"0,326"
3524402,Jacareí,"0,328"
3524907,Jambeiro,"0,328"
3526308,Lagoinha,"0,302"
3526605,Lavrinhas,"0,277"
3527207,Lorena,"0,319"
3531704,Monteiro Lobato,"0,318"
3532306,Natividade da Serra,"0,256"
3535606,Paraibuna,"0,303"
3538006,Pindamonhangaba,"0,325"
3538501,Piquete,"0,308"
3540754,Potim,"0,297"
3541901,Queluz,"0,303"
3542305,Redenção da Serra,"0,325"
3544301,Roseira,"0,329"
3546009,Santa Branca,"0,315"
3548203,Santo Antônio do Pinhal,"0,194"
3548609,São Bento do Sapucaí,"0,274"
3549607,São José do Barreiro,"0,294"
3549904,São José dos Campos,"0,358"
3550001,São Luís do Paraitinga,"0,325"
3550704,São Sebastião,"0,315"
3552007,Silveiras,"0,256"
3554102,Taubaté,"0,346"
3554805,Tremembé,"0,332"
3555406,Ubatuba,"0,282"
