geocode,Municipio,value
3502507,Aparecida,"0,82"
3503158,Arapeí,"0,56"
3503505,Areias,"0,38"
3504909,Bananal,"0,52"
3508504,Caçapava,"0,67"
3508603,Cachoeira Paulista,"0,80"
3509700,Campos do Jordão,"0,56"
3509957,Canas,"0,53"
3510500,Caraguatatuba,"0,75"
3513405,Cruzeiro,"0,70"
3513603,Cunha,"0,15"
3518404,Guaratinguetá,"0,71"
3520202,Igaratá,"0,68"
3520400,Ilhabela,"0,53"
3524402,Jacareí,"0,77"
3524907,Jambeiro,"0,61"
3526308,Lagoinha,"0,67"
3526605,Lavrinhas,"0,42"
3527207,Lorena,"0,64"
3531704,Monteiro Lobato,"0,53"
3532306,Natividade da Serra,"0,09"
3535606,Paraibuna,"0,64"
3538006,Pindamonhangaba,"0,83"
3538501,Piquete,"0,75"
3540754,Potim,"0,67"
3541901,Queluz,"0,82"
3542305,Redenção da Serra,"0,60"
3544301,Roseira,"0,89"
3546009,Santa Branca,"0,69"
3548203,Santo Antônio do Pinhal,"0,46"
3548609,São Bento do Sapucaí,"0,69"
3549607,São José do Barreiro,"0,34"
3549904,São José dos Campos,"0,84"
3550001,São Luís do Paraitinga,"0,76"
3550704,São Sebastião,"0,58"
3552007,Silveiras,"0,45"
3554102,Taubaté,"0,84"
3554805,Tremembé,"0,83"
3555406,Ubatuba,"0,50"
