geocode,Municipio,value
3502507,Aparecida,"0,92"
3503158,Arapeí,"0,39"
3503505,Areias,"0,22"
3504909,Bananal,"0,61"
3508504,Caçapava,"0,78"
3508603,Cachoeira Paulista,"0,77"
3509700,Campos do Jordão,"0,93"
3509957,Canas,"0,81"
3510500,Caraguatatuba,"0,64"
3513405,Cruzeiro,"0,73"
3513603,Cunha,"0,35"
3518404,Guaratinguetá,"0,83"
3520202,Igaratá,"0,45"
3520400,Ilhabela,"0,67"
3524402,Jacareí,"1,00"
3524907,Jambeiro,"0,58"
3526308,Lagoinha,"0,01"
3526605,Lavrinhas,"0,82"
3527207,Lorena,"0,60"
3531704,Monteiro Lobato,"0,54"
3532306,Natividade da Serra,"0,18"
3535606,Paraibuna,"0,43"
3538006,Pindamonhangaba,"0,93"
3538501,Piquete,"0,62"
3540754,Potim,"0,46"
3541901,Queluz,"0,83"
3542305,Redenção da Serra,"0,04"
3544301,Roseira,"0,83"
3546009,Santa Branca,"0,83"
3548203,Santo Antônio do Pinhal,"0,83"
3548609,São Bento do Sapucaí,"0,81"
3549607,São José do Barreiro,"0,53"
3549904,São José dos Campos,"0,95"
3550001,São Luiz do Paraitinga,"0,37"
3550704,São Sebastião,"0,91"
3552007,Silveiras,"0,00"
3554102,Taubaté,"0,88"
3554805,Tremembé,"0,76"
3555406,Ubatuba,"0,85"
