geocode,Municipio,value
3502507,Aparecida,"0,55"
3503158,Arapeí,"0,14"
3503505,Areias,"0,00"
3504909,Bananal,"0,12"
3508504,Caçapava,"0,68"
3508603,Cachoeira Paulista,"0,32"
3509700,Campos do Jordão,"0,86"
3509957,Canas,"0,32"
3510500,Caraguatatuba,"0,48"
3513405,Cruzeiro,"0,32"
3513603,Cunha,"0,06"
3518404,Guaratinguetá,"0,36"
3520202,Igaratá,"0,37"
3520400,Ilhabela,"0,11"
3524402,Jacareí,"1,00"
3524907,Jambeiro,"0,29"
3526308,Lagoinha,"0,10"
3526605,Lavrinhas,"0,15"
3527207,Lorena,"0,33"
3531704,Monteiro Lobato,"0,12"
3532306,Natividade da Serra,"0,06"
3535606,Paraibuna,"0,13"
3538006,Pindamonhangaba,"0,48"
3538501,Piquete,"0,23"
3540754,Potim,"0,48"
3541901,Queluz,"0,12"
3542305,Redenção da Serra,"0,13"
3544301,Roseira,"0,17"
3546009,Santa Branca,"0,42"
3548203,Santo Antônio do Pinhal,"0,48"
3548609,São Bento do Sapucaí,"0,36"
3549607,São José do Barreiro,"0,01"
3549904,São José dos Campos,"0,93"
3550001,São Luiz do Paraitinga,"0,13"
3550704,São Sebastião,"0,34"
3552007,Silveiras,"0,09"
3554102,Taubaté,"0,79"
3554805,Tremembé,"0,59"
3555406,Ubatuba,"0,22"
