geocode,Municipio,value
3502507,Aparecida,"0,89"
3503158,Arapeí,"0,00"
3503505,Areias,"0,06"
3504909,Bananal,"0,34"
3508504,Caçapava,"1,00"
3508603,Cachoeira Paulista,"0,53"
3509700,Campos do Jordão,"0,49"
3509957,Canas,"0,69"
3510500,Caraguatatuba,"0,87"
3513405,Cruzeiro,"0,71"
3513603,Cunha,"0,33"
3518404,Guaratinguetá,"0,89"
3520202,Igaratá,"0,22"
3520400,Ilhabela,"0,87"
3524402,Jacareí,"1,00"
3524907,Jambeiro,"1,00"
3526308,Lagoinha,"0,05"
3526605,Lavrinhas,"0,71"
3527207,Lorena,"0,69"
3531704,Monteiro Lobato,"1,00"
3532306,Natividade da Serra,"0,19"
3535606,Paraibuna,"0,35"
3538006,Pindamonhangaba,"1,00"
3538501,Piquete,"0,26"
3540754,Potim,"0,89"
3541901,Queluz,"0,15"
3542305,Redenção da Serra,"1,00"
3544301,Roseira,"0,89"
3546009,Santa Branca,"1,00"
3548203,Santo Antônio do Pinhal,"0,36"
3548609,São Bento do Sapucaí,"0,29"
3549607,São José do Barreiro,"0,04"
3549904,São José dos Campos,"1,00"
3550001,São Luís do Paraitinga,"0,26"
3550704,São Sebastião,"0,87"
3552007,Silveiras,"0,08"
3554102,Taubaté,"1,00"
3554805,Tremembé,"1,00"
3555406,Ubatuba,"0,87"
