geocode,Municipio,value
3502507,Aparecida,"0,828"
3503158,Arapeí,"0,812"
3503505,Areias,"0,803"
3504909,Bananal,"0,872"
3508504,Caçapava,"0,858"
3508603,Cachoeira Paulista,"0,837"
3509700,Campos do Jordão,"0,852"
3509957,Canas,"0,797"
3510500,Caraguatatuba,"0,845"
3513405,Cruzeiro,"0,871"
3513603,Cunha,"0,826"
3518404,Guaratinguetá,"0,886"
3520202,Igaratá,"0,855"
3520400,Ilhabela,"0,843"
3524402,Jacareí,"0,837"
3524907,Jambeiro,"0,860"
3526308,Lagoinha,"0,797"
3526605,Lavrinhas,"0,823"
3527207,Lorena,"0,856"
3531704,Monteiro Lobato,"0,826"
3532306,Natividade da Serra,"0,814"
3535606,Paraibuna,"0,815"
3538006,Pindamonhangaba,"0,843"
3538501,Piquete,"0,823"
3540754,Potim,"0,806"
3541901,Queluz,"0,823"
3542305,Redenção da Serra,"0,799"
3544301,Roseira,"0,823"
3546009,Santa Branca,"0,828"
3548203,Santo Antônio do Pinhal,"0,812"
3548609,São Bento do Sapucaí,"0,812"
3549607,São José do Barreiro,"0,813"
3549904,São José dos Campos,"0,855"
3550001,São Luís do Paraitinga,"0,826"
3550704,São Sebastião,"0,875"
3552007,Silveiras,"0,812"
3554102,Taubaté,"0,883"
3554805,Tremembé,"0,873"
3555406,Ubatuba,"0,841"
