geocode,Municipio,value
3502507,Aparecida,"0,735"
3503158,Arapeí,"0,634"
3503505,Areias,"0,627"
3504909,Bananal,"0,693"
3508504,Caçapava,"0,754"
3508603,Cachoeira Paulista,"0,733"
3509700,Campos do Jordão,"0,761"
3509957,Canas,"0,646"
3510500,Caraguatatuba,"0,735"
3513405,Cruzeiro,"0,742"
3513603,Cunha,"0,672"
3518404,Guaratinguetá,"0,764"
3520202,Igaratá,"0,683"
3520400,Ilhabela,"0,739"
3524402,Jacareí,"0,749"
3524907,Jambeiro,"0,727"
3526308,Lagoinha,"0,686"
3526605,Lavrinhas,"0,665"
3527207,Lorena,"0,736"
3531704,Monteiro Lobato,"0,692"
3532306,Natividade da Serra,"0,664"
3535606,Paraibuna,"0,709"
3538006,Pindamonhangaba,"0,745"
3538501,Piquete,"0,711"
3540754,Potim,"0,651"
3541901,Queluz,"0,665"
3542305,Redenção da Serra,"0,633"
3544301,Roseira,"0,691"
3546009,Santa Branca,"0,706"
3548203,Santo Antônio do Pinhal,"0,685"
3548609,São Bento do Sapucaí,"0,719"
3549607,São José do Barreiro,"0,666"
3549904,São José dos Campos,"0,804"
3550001,São Luís do Paraitinga,"0,691"
3550704,São Sebastião,"0,747"
3552007,Silveiras,"0,657"
3554102,Taubaté,"0,778"
3554805,Tremembé,"0,769"
3555406,Ubatuba,"0,741"
