geocode,Municipio,value
3502507,Aparecida,"0,66"
3503158,Arapeí,"0,77"
3503505,Areias,"0,01"
3504909,Bananal,"0,76"
3508504,Caçapava,"0,74"
3508603,Cachoeira Paulista,"0,75"
3509700,Campos do Jordão,"0,52"
3509957,Canas,"0,76"
3510500,Caraguatatuba,"0,58"
3513405,Cruzeiro,"0,76"
3513603,Cunha,"0,53"
3518404,Guaratinguetá,"0,75"
3520202,Igaratá,"0,61"
3520400,Ilhabela,"0,44"
3524402,Jacareí,"0,73"
3524907,Jambeiro,"0,72"
3526308,Lagoinha,"0,76"
3526605,Lavrinhas,"0,76"
3527207,Lorena,"0,75"
3531704,Monteiro Lobato,"0,72"
3532306,Natividade da Serra,"0,77"
3535606,Paraibuna,"0,81"
3538006,Pindamonhangaba,"0,75"
3538501,Piquete,"0,73"
3540754,Potim,"0,49"
3541901,Queluz,"0,78"
3542305,Redenção da Serra,"0,72"
3544301,Roseira,"0,77"
3546009,Santa Branca,"0,73"
3548203,Santo Antônio do Pinhal,"0,68"
3548609,São Bento do Sapucaí,"0,72"
3549607,São José do Barreiro,"0,54"
3549904,São José dos Campos,"0,74"
3550001,São Luís do Paraitinga,"0,73"
3550704,São Sebastião,"0,65"
3552007,Silveiras,"0,77"
3554102,Taubaté,"0,73"
3554805,Tremembé,"0,76"
3555406,Ubatuba,"0,48"
