geocode,Municipio,value
3502507,Aparecida,"0,99"
3503158,Arapeí,"0,85"
3503505,Areias,"0,67"
3504909,Bananal,"0,78"
3508504,Caçapava,"1,00"
3508603,Cachoeira Paulista,"0,95"
3509700,Campos do Jordão,"0,65"
3509957,Canas,"0,93"
3510500,Caraguatatuba,"0,80"
3513405,Cruzeiro,"1,00"
3513603,Cunha,"0,56"
3518404,Guaratinguetá,"0,99"
3520202,Igaratá,"0,56"
3520400,Ilhabela,"0,69"
3524402,Jacareí,"0,99"
3524907,Jambeiro,"0,72"
3526308,Lagoinha,"0,64"
3526605,Lavrinhas,"0,95"
3527207,Lorena,"1,00"
3531704,Monteiro Lobato,"0,50"
3532306,Natividade da Serra,"0,43"
3535606,Paraibuna,"0,74"
3538006,Pindamonhangaba,"1,00"
3538501,Piquete,"0,96"
3540754,Potim,"0,76"
3541901,Queluz,"0,75"
3542305,Redenção da Serra,"0,46"
3544301,Roseira,"0,93"
3546009,Santa Branca,"0,64"
3548203,Santo Antônio do Pinhal,"0,55"
3548609,São Bento do Sapucaí,"0,71"
3549607,São José do Barreiro,"0,82"
3549904,São José dos Campos,"1,00"
3550001,São Luís do Paraitinga,"0,58"
3550704,São Sebastião,"0,74"
3552007,Silveiras,"0,64"
3554102,Taubaté,"1,00"
3554805,Tremembé,"1,00"
3555406,Ubatuba,"0,74"
