geocode,Municipio,value
3502507,Aparecida,"0,72"
3503158,Arapeí,"0,72"
3503505,Areias,"0,32"
3504909,Bananal,"0,62"
3508504,Caçapava,"0,79"
3508603,Cachoeira Paulista,"0,80"
3509700,Campos do Jordão,"0,77"
3509957,Canas,"0,22"
3510500,Caraguatatuba,"0,75"
3513405,Cruzeiro,"0,72"
3513603,Cunha,"0,11"
3518404,Guaratinguetá,"0,77"
3520202,Igaratá,"0,61"
3520400,Ilhabela,"0,75"
3524402,Jacareí,"0,78"
3524907,Jambeiro,"0,78"
3526308,Lagoinha,"0,49"
3526605,Lavrinhas,"0,76"
3527207,Lorena,"0,70"
3531704,Monteiro Lobato,"0,86"
3532306,Natividade da Serra,"0,00"
3535606,Paraibuna,"0,81"
3538006,Pindamonhangaba,"0,80"
3538501,Piquete,"0,67"
3540754,Potim,"0,86"
3541901,Queluz,"0,80"
3542305,Redenção da Serra,"0,39"
3544301,Roseira,"0,69"
3546009,Santa Branca,"0,72"
3548203,Santo Antônio do Pinhal,"0,69"
3548609,São Bento do Sapucaí,"0,60"
3549607,São José do Barreiro,"0,48"
3549904,São José dos Campos,"0,81"
3550001,São Luís do Paraitinga,"0,64"
3550704,São Sebastião,"0,77"
3552007,Silveiras,"0,60"
3554102,Taubaté,"0,79"
3554805,Tremembé,"0,51"
3555406,Ubatuba,"0,71"
