geocode,Municipio,value
3502507,Aparecida,"0,94"
3503158,Arapeí,"0,52"
3503505,Areias,"0,67"
3504909,Bananal,"0,50"
3508504,Caçapava,"0,98"
3508603,Cachoeira Paulista,"0,94"
3509700,Campos do Jordão,"0,39"
3509957,Canas,"0,90"
3510500,Caraguatatuba,"0,83"
3513405,Cruzeiro,"0,98"
3513603,Cunha,"0,28"
3518404,Guaratinguetá,"0,98"
3520202,Igaratá,"0,54"
3520400,Ilhabela,"0,35"
3524402,Jacareí,"0,99"
3524907,Jambeiro,"0,51"
3526308,Lagoinha,"0,64"
3526605,Lavrinhas,"0,53"
3527207,Lorena,"0,99"
3531704,Monteiro Lobato,"0,30"
3532306,Natividade da Serra,"0,28"
3535606,Paraibuna,"0,58"
3538006,Pindamonhangaba,"1,00"
3538501,Piquete,"0,90"
3540754,Potim,"0,84"
3541901,Queluz,"0,76"
3542305,Redenção da Serra,"0,57"
3544301,Roseira,"0,93"
3546009,Santa Branca,"0,71"
3548203,Santo Antônio do Pinhal,"0,29"
3548609,São Bento do Sapucaí,"0,64"
3549607,São José do Barreiro,"0,51"
3549904,São José dos Campos,"0,99"
3550001,São Luís do Paraitinga,"0,70"
3550704,São Sebastião,"0,44"
3552007,Silveiras,"0,39"
3554102,Taubaté,"1,00"
3554805,Tremembé,"0,96"
3555406,Ubatuba,"0,36"
