geocode,Municipio,value
3502507,Aparecida,"0,66"
3503158,Arapeí,"0,51"
3503505,Areias,"0,68"
3504909,Bananal,"0,52"
3508504,Caçapava,"0,56"
3508603,Cachoeira Paulista,"0,54"
3509700,Campos do Jordão,"0,58"
3509957,Canas,"0,54"
3510500,Caraguatatuba,"0,54"
3513405,Cruzeiro,"0,65"
3513603,Cunha,"0,61"
3518404,Guaratinguetá,"0,59"
3520202,Igaratá,"0,53"
3520400,Ilhabela,"0,57"
3524402,Jacareí,"0,55"
3524907,Jambeiro,"0,55"
3526308,Lagoinha,"0,52"
3526605,Lavrinhas,"0,55"
3527207,Lorena,"0,57"
3531704,Monteiro Lobato,"0,53"
3532306,Natividade da Serra,"1,00"
3535606,Paraibuna,"0,55"
3538006,Pindamonhangaba,"0,55"
3538501,Piquete,"0,61"
3540754,Potim,"0,63"
3541901,Queluz,"0,54"
3542305,Redenção da Serra,"0,52"
3544301,Roseira,"0,54"
3546009,Santa Branca,"0,59"
3548203,Santo Antônio do Pinhal,"0,54"
3548609,São Bento do Sapucaí,"0,52"
3549607,São José do Barreiro,"0,62"
3549904,São José dos Campos,"0,57"
3550001,São Luís do Paraitinga,"0,52"
3550704,São Sebastião,"0,59"
3552007,Silveiras,"0,52"
3554102,Taubaté,"0,57"
3554805,Tremembé,"0,56"
3555406,Ubatuba,"0,54"
