geocode,Municipio,value
3502507,Aparecida,"0,67"
3503158,Arapeí,"0,67"
3503505,Areias,"0,33"
3504909,Bananal,"0,67"
3508504,Caçapava,"0,33"
3508603,Cachoeira Paulista,"0,67"
3509700,Campos do Jordão,"0,67"
3509957,Canas,"0,67"
3510500,Caraguatatuba,"0,72"
3513405,Cruzeiro,"0,36"
3513603,Cunha,"0,47"
3518404,Guaratinguetá,"0,40"
3520202,Igaratá,"1,00"
3520400,Ilhabela,"0,67"
3524402,Jacareí,"0,56"
3524907,Jambeiro,"0,67"
3526308,Lagoinha,"1,00"
3526605,Lavrinhas,"0,26"
3527207,Lorena,"0,33"
3531704,Monteiro Lobato,"0,64"
3532306,Natividade da Serra,"0,06"
3535606,Paraibuna,"0,64"
3538006,Pindamonhangaba,"0,67"
3538501,Piquete,"0,64"
3540754,Potim,"0,33"
3541901,Queluz,"0,88"
3542305,Redenção da Serra,"1,00"
3544301,Roseira,"1,00"
3546009,Santa Branca,"0,68"
3548203,Santo Antônio do Pinhal,"0,67"
3548609,São Bento do Sapucaí,"0,93"
3549607,São José do Barreiro,"0,30"
3549904,São José dos Campos,"0,67"
3550001,São Luís do Paraitinga,"1,00"
3550704,São Sebastião,"0,67"
3552007,Silveiras,"0,64"
3554102,Taubaté,"0,68"
3554805,Tremembé,"0,98"
3555406,Ubatuba,"0,67"
