geocode,Municipio,value
3502507,Aparecida,"0,39"
3503158,Arapeí,"0,12"
3503505,Areias,"0,43"
3504909,Bananal,"0,15"
3508504,Caçapava,"0,22"
3508603,Cachoeira Paulista,"0,19"
3509700,Campos do Jordão,"0,24"
3509957,Canas,"0,19"
3510500,Caraguatatuba,"0,18"
3513405,Cruzeiro,"0,37"
3513603,Cunha,"0,31"
3518404,Guaratinguetá,"0,27"
3520202,Igaratá,"0,16"
3520400,Ilhabela,"0,24"
3524402,Jacareí,"0,21"
3524907,Jambeiro,"0,20"
3526308,Lagoinha,"0,14"
3526605,Lavrinhas,"0,20"
3527207,Lorena,"0,23"
3531704,Monteiro Lobato,"0,16"
3532306,Natividade da Serra,"1,00"
3535606,Paraibuna,"0,20"
3538006,Pindamonhangaba,"0,20"
3538501,Piquete,"0,31"
3540754,Potim,"0,34"
3541901,Queluz,"0,18"
3542305,Redenção da Serra,"0,15"
3544301,Roseira,"0,18"
3546009,Santa Branca,"0,27"
3548203,Santo Antônio do Pinhal,"0,18"
3548609,São Bento do Sapucaí,"0,15"
3549607,São José do Barreiro,"0,33"
3549904,São José dos Campos,"0,23"
3550001,São Luís do Paraitinga,"0,15"
3550704,São Sebastião,"0,26"
3552007,Silveiras,"0,14"
3554102,Taubaté,"0,23"
3554805,Tremembé,"0,21"
3555406,Ubatuba,"0,19"
