geocode,Municipio,value
3502507,Aparecida,"0,29"
3503158,Arapeí,"0,08"
3503505,Areias,"0,17"
3504909,Bananal,"0,04"
3508504,Caçapava,"0,25"
3508603,Cachoeira Paulista,"0,29"
3509700,Campos do Jordão,"0,17"
3509957,Canas,"0,17"
3510500,Caraguatatuba,"0,33"
3513405,Cruzeiro,"0,42"
3513603,Cunha,"0,21"
3518404,Guaratinguetá,"0,50"
3520202,Igaratá,"0,00"
3520400,Ilhabela,"0,00"
3524402,Jacareí,"0,46"
3524907,Jambeiro,"0,08"
3526308,Lagoinha,"0,17"
3526605,Lavrinhas,"0,08"
3527207,Lorena,"0,54"
3531704,Monteiro Lobato,"0,00"
3532306,Natividade da Serra,"0,08"
3535606,Paraibuna,"0,17"
3538006,Pindamonhangaba,"0,50"
3538501,Piquete,"0,17"
3540754,Potim,"0,21"
3541901,Queluz,"0,21"
3542305,Redenção da Serra,"0,04"
3544301,Roseira,"0,17"
3546009,Santa Branca,"0,04"
3548203,Santo Antônio do Pinhal,"0,04"
3548609,São Bento do Sapucaí,"0,13"
3549607,São José do Barreiro,"0,13"
3549904,São José dos Campos,"0,79"
3550001,São Luiz do Paraitinga,"0,08"
3550704,São Sebastião,"0,08"
3552007,Silveiras,"0,13"
3554102,Taubaté,"1,00"
3554805,Tremembé,"0,29"
3555406,Ubatuba,"0,00"
