geocode,Municipio,value
3502507,Aparecida,"0,07"
3503158,Arapeí,"0,00"
3503505,Areias,"0,01"
3504909,Bananal,"0,03"
3508504,Caçapava,"0,22"
3508603,Cachoeira Paulista,"0,12"
3509700,Campos do Jordão,"0,17"
3509957,Canas,"0,00"
3510500,Caraguatatuba,"0,21"
3513405,Cruzeiro,"0,13"
3513603,Cunha,"0,05"
3518404,Guaratinguetá,"0,29"
3520202,Igaratá,"0,04"
3520400,Ilhabela,"0,05"
3524402,Jacareí,"0,35"
3524907,Jambeiro,"0,04"
3526308,Lagoinha,"0,01"
3526605,Lavrinhas,"0,01"
3527207,Lorena,"0,25"
3531704,Monteiro Lobato,"0,01"
3532306,Natividade da Serra,"0,01"
3535606,Paraibuna,"0,03"
3538006,Pindamonhangaba,"0,23"
3538501,Piquete,"0,04"
3540754,Potim,"0,04"
3541901,Queluz,"0,01"
3542305,Redenção da Serra,"0,00"
3544301,Roseira,"0,01"
3546009,Santa Branca,"0,05"
3548203,Santo Antônio do Pinhal,"0,01"
3548609,São Bento do Sapucaí,"0,05"
3549607,São José do Barreiro,"0,01"
3549904,São José dos Campos,"1,00"
3550001,São Luís do Paraitinga,"0,04"
3550704,São Sebastião,"0,09"
3552007,Silveiras,"0,01"
3554102,Taubaté,"0,47"
3554805,Tremembé,"0,10"
3555406,Ubatuba,"0,20"
