geocode,Municipio,value
3502507,Aparecida,"0,97"
3503158,Arapeí,"0,99"
3503505,Areias,"0,91"
3504909,Bananal,"0,98"
3508504,Caçapava,"1,00"
3508603,Cachoeira Paulista,"1,00"
3509700,Campos do Jordão,"1,00"
3509957,Canas,"1,00"
3510500,Caraguatatuba,"0,93"
3513405,Cruzeiro,"0,99"
3513603,Cunha,"0,90"
3518404,Guaratinguetá,"0,99"
3520202,Igaratá,"0,99"
3520400,Ilhabela,"0,59"
3524402,Jacareí,"1,00"
3524907,Jambeiro,"0,99"
3526308,Lagoinha,"0,96"
3526605,Lavrinhas,"0,98"
3527207,Lorena,"0,99"
3531704,Monteiro Lobato,"0,99"
3532306,Natividade da Serra,"0,86"
3535606,Paraibuna,"0,95"
3538006,Pindamonhangaba,"0,99"
3538501,Piquete,"1,00"
3540754,Potim,"1,00"
3541901,Queluz,"0,93"
3542305,Redenção da Serra,"0,99"
3544301,Roseira,"0,99"
3546009,Santa Branca,"1,00"
3548203,Santo Antônio do Pinhal,"0,98"
3548609,São Bento do Sapucaí,"1,00"
3549607,São José do Barreiro,"0,91"
3549904,São José dos Campos,"1,00"
3550001,São Luiz do Paraitinga,"0,98"
3550704,São Sebastião,"0,81"
3552007,Silveiras,"0,99"
3554102,Taubaté,"0,92"
3554805,Tremembé,"1,00"
3555406,Ubatuba,"0,87"
