"geocode","Municipio","value"
2500106,"Água Branca","0.98"
2500205,"Aguiar","0.98"
2500304,"Alagoa Grande","0.99"
2500403,"Alagoa Nova","0.99"
2500502,"Alagoinha","0.99"
2500536,"Alcantil","0.97"
2500577,"Algodão de Jandaíra","0.99"
2500601,"Alhandra","0.98"
2500734,"Amparo","0.99"
2500775,"Aparecida","1.00"
2500809,"Araçagi","1.00"
2500908,"Arara","0.99"
2501005,"Araruna","0.99"
2501104,"Areia","0.96"
2501153,"Areia de Baraúnas","1.00"
2501203,"Areial","0.98"
2501302,"Aroeiras","0.97"
2501351,"Assunção","0.99"
2501401,"Baía da Traição","0.99"
2501500,"Bananeiras","0.99"
2501534,"Baraúna","0.99"
2501609,"Barra de Santa Rosa","0.99"
2501575,"Barra de Santana","0.99"
2501708,"Barra de São Miguel","0.99"
2501807,"Bayeux","0.98"
2501906,"Belém","0.98"
2502003,"Belém do Brejo do Cruz","0.98"
2502052,"Bernardino Batista","0.99"
2502102,"Boa Ventura","0.99"
2502151,"Boa Vista","0.00"
2502201,"Bom Jesus","0.93"
2502300,"Bom Sucesso","0.97"
2502409,"Bonito de Santa Fé","0.99"
2502508,"Boqueirão","0.95"
2502706,"Borborema","0.99"
2502805,"Brejo do Cruz","0.98"
2502904,"Brejo dos Santos","1.00"
2503001,"Caaporã","0.95"
2503100,"Cabaceiras","0.98"
2503209,"Cabedelo","0.97"
2503308,"Cachoeira dos Índios","0.98"
2503407,"Cacimba de Areia","1.00"
2503506,"Cacimba de Dentro","0.99"
2503555,"Cacimbas","1.00"
2503605,"Caiçara","0.99"
2503704,"Cajazeiras","0.95"
2503753,"Cajazeirinhas","0.99"
2503803,"Caldas Brandão","0.99"
2503902,"Camalaú","0.99"
2504009,"Campina Grande","0.90"
2504033,"Capim","0.99"
2504074,"Caraúbas","0.98"
2504108,"Carrapateira","1.00"
2504157,"Casserengue","1.00"
2504207,"Catingueira","1.00"
2504306,"Catolé do Rocha","0.97"
2504355,"Caturité","0.96"
2504405,"Conceição","0.98"
2504504,"Condado","0.99"
2504603,"Conde","0.99"
2504702,"Congo","0.99"
2504801,"Coremas","0.79"
2504850,"Coxixola","0.99"
2504900,"Cruz do Espírito Santo","0.99"
2505006,"Cubati","1.00"
2505105,"Cuité","0.97"
2505238,"Cuité de Mamanguape","0.93"
2505204,"Cuitegi","1.00"
2505279,"Curral de Cima","0.98"
2505303,"Curral Velho","1.00"
2505352,"Damião","1.00"
2505402,"Desterro","0.99"
2505600,"Diamante","0.98"
2505709,"Dona Inês","0.95"
2505808,"Duas Estradas","1.00"
2505907,"Emas","1.00"
2506004,"Esperança","0.98"
2506103,"Fagundes","1.00"
2506202,"Frei Martinho","0.94"
2506251,"Gado Bravo","0.99"
2506301,"Guarabira","0.95"
2506400,"Gurinhém","0.99"
2506509,"Gurjão","0.96"
2506608,"Ibiara","0.99"
2502607,"Igaracy","0.99"
2506707,"Imaculada","0.99"
2506806,"Ingá","0.96"
2506905,"Itabaiana","0.97"
2507002,"Itaporanga","0.97"
2507101,"Itapororoca","0.99"
2507200,"Itatuba","0.99"
2507309,"Jacaraú","0.99"
2507408,"Jericó","0.97"
2507507,"João Pessoa","0.84"
2513653,"Joca Claudino","0.98"
2507606,"Juarez Távora","1.00"
2507705,"Juazeirinho","0.99"
2507804,"Junco do Seridó","1.00"
2507903,"Juripiranga","0.96"
2508000,"Juru","0.97"
2508109,"Lagoa","0.98"
2508208,"Lagoa de Dentro","0.98"
2508307,"Lagoa Seca","0.99"
2508406,"Lastro","0.99"
2508505,"Livramento","0.99"
2508554,"Logradouro","0.99"
2508604,"Lucena","0.98"
2508703,"Mãe d'Água","1.00"
2508802,"Malta","1.00"
2508901,"Mamanguape","0.96"
2509008,"Manaíra","0.96"
2509057,"Marcação","1.00"
2509107,"Mari","0.98"
2509156,"Marizópolis","1.00"
2509206,"Massaranduba","0.99"
2509305,"Mataraca","0.97"
2509339,"Matinhas","0.98"
2509370,"Mato Grosso","0.99"
2509396,"Maturéia","1.00"
2509404,"Mogeiro","0.98"
2509503,"Montadas","0.99"
2509602,"Monte Horebe","1.00"
2509701,"Monteiro","0.94"
2509800,"Mulungu","0.99"
2509909,"Natuba","0.97"
2510006,"Nazarezinho","0.99"
2510105,"Nova Floresta","1.00"
2510204,"Nova Olinda","0.99"
2510303,"Nova Palmeira","0.99"
2510402,"Olho d'Água","1.00"
2510501,"Olivedos","0.98"
2510600,"Ouro Velho","0.95"
2510659,"Parari","0.97"
2510709,"Passagem","1.00"
2510808,"Patos","0.97"
2510907,"Paulista","0.97"
2511004,"Pedra Branca","0.99"
2511103,"Pedra Lavrada","0.98"
2511202,"Pedras de Fogo","0.96"
2512721,"Pedro Régis","0.99"
2511301,"Piancó","0.88"
2511400,"Picuí","0.96"
2511509,"Pilar","0.96"
2511608,"Pilões","1.00"
2511707,"Pilõezinhos","1.00"
2511806,"Pirpirituba","1.00"
2511905,"Pitimbu","0.98"
2512002,"Pocinhos","0.99"
2512036,"Poço Dantas","1.00"
2512077,"Poço de José de Moura","1.00"
2512101,"Pombal","0.94"
2512200,"Prata","0.98"
2512309,"Princesa Isabel","0.83"
2512408,"Puxinanã","0.94"
2512507,"Queimadas","0.98"
2512606,"Quixabá","1.00"
2512705,"Remígio","0.98"
2512747,"Riachão","0.99"
2512754,"Riachão do Bacamarte","1.00"
2512762,"Riachão do Poço","1.00"
2512788,"Riacho de Santo Antônio","0.94"
2512804,"Riacho dos Cavalos","0.98"
2512903,"Rio Tinto","0.95"
2513000,"Salgadinho","1.00"
2513109,"Salgado de São Félix","0.99"
2513158,"Santa Cecília","0.99"
2513208,"Santa Cruz","0.96"
2513307,"Santa Helena","0.99"
2513356,"Santa Inês","0.99"
2513406,"Santa Luzia","0.98"
2513703,"Santa Rita","0.95"
2513802,"Santa Teresinha","1.00"
2513505,"Santana de Mangueira","0.99"
2513604,"Santana dos Garrotes","0.99"
2513851,"Santo André","0.99"
2513927,"São Bentinho","0.99"
2513901,"São Bento","0.97"
2513968,"São Domingos","0.99"
2513943,"São Domingos do Cariri","0.98"
2513984,"São Francisco","0.99"
2514008,"São João do Cariri","0.99"
2500700,"São João do Rio do Peixe","0.98"
2514107,"São João do Tigre","1.00"
2514206,"São José da Lagoa Tapada","0.99"
2514305,"São José de Caiana","0.97"
2514404,"São José de Espinharas","0.97"
2514503,"São José de Piranhas","0.99"
2514552,"São José de Princesa","1.00"
2514602,"São José do Bonfim","1.00"
2514651,"São José do Brejo do Cruz","1.00"
2514701,"São José do Sabugi","0.97"
2514800,"São José dos Cordeiros","0.99"
2514453,"São José dos Ramos","0.99"
2514909,"São Mamede","0.98"
2515005,"São Miguel de Taipu","0.99"
2515104,"São Sebastião de Lagoa de Roça","0.98"
2515203,"São Sebastião do Umbuzeiro","1.00"
2515401,"São Vicente do Seridó","0.99"
