geocode,Municipio,value
2500106,Água Branca,0
2500205,Aguiar,0
2500304,Alagoa Grande,0
2500403,Alagoa Nova,0
2500502,Alagoinha,0
2500536,Alcantil,0
2500577,Algodão de Jandaíra,0
2500601,Alhandra,0
2500734,Amparo,0
2500775,Aparecida,0
2500809,Araçagi,0
2500908,Arara,0
2501005,Araruna,0
2501104,Areia,0
2501153,Areia de Baraúnas,0
2501203,Areial,0
2501302,Aroeiras,0
2501351,Assunção,0
2501401,Baía da Traição,0
2501500,Bananeiras,0
2501534,Baraúna,0
2501609,Barra de Santa Rosa,0
2501575,Barra de Santana,0
2501708,Barra de São Miguel,0
2501807,Bayeux,0
2501906,Belém,0
2502003,Belém do Brejo do Cruz,0
2502052,Bernardino Batista,0
2502102,Boa Ventura,0
2502151,Boa Vista,0
2502201,Bom Jesus,0
2502300,Bom Sucesso,0
2502409,Bonito de Santa Fé,0
2502508,Boqueirão,0
2502706,Borborema,0
2502805,Brejo do Cruz,0
2502904,Brejo dos Santos,0
2503001,Caaporã,0
2503100,Cabaceiras,0
2503209,Cabedelo,0
2503308,Cachoeira dos Índios,0
2503407,Cacimba de Areia,0
2503506,Cacimba de Dentro,0
2503555,Cacimbas,0
2503605,Caiçara,0
2503704,Cajazeiras,0
2503753,Cajazeirinhas,0
2503803,Caldas Brandão,0
2503902,Camalaú,0
2504009,Campina Grande,0
2504033,Capim,0
2504074,Caraúbas,0
2504108,Carrapateira,0
2504157,Casserengue,0
2504207,Catingueira,0
2504306,Catolé do Rocha,0
2504355,Caturité,0
2504405,Conceição,0
2504504,Condado,0
2504603,Conde,0
2504702,Congo,0
2504801,Coremas,0
2504850,Coxixola,0
2504900,Cruz do Espírito Santo,0
2505006,Cubati,0
2505105,Cuité,0
2505238,Cuité de Mamanguape,0
2505204,Cuitegi,0
2505279,Curral de Cima,0
2505303,Curral Velho,0
2505352,Damião,0
2505402,Desterro,0
2505600,Diamante,0
2505709,Dona Inês,0
2505808,Duas Estradas,0
2505907,Emas,0
2506004,Esperança,0
2506103,Fagundes,0
2506202,Frei Martinho,0
2506251,Gado Bravo,0
2506301,Guarabira,0
2506400,Gurinhém,0
2506509,Gurjão,0
2506608,Ibiara,0
2502607,Igaracy,0
2506707,Imaculada,0
2506806,Ingá,0
2506905,Itabaiana,0
2507002,Itaporanga,0
2507101,Itapororoca,0
2507200,Itatuba,0
2507309,Jacaraú,0
2507408,Jericó,0
2507507,João Pessoa,0
2513653,Joca Claudino,0
2507606,Juarez Távora,0
2507705,Juazeirinho,0
2507804,Junco do Seridó,0
2507903,Juripiranga,0
2508000,Juru,0
2508109,Lagoa,0
2508208,Lagoa de Dentro,0
2508307,Lagoa Seca,0
2508406,Lastro,0
2508505,Livramento,0
2508554,Logradouro,0
2508604,Lucena,0
2508703,Mãe d'Água,0
2508802,Malta,0
2508901,Mamanguape,0
2509008,Manaíra,0
2509057,Marcação,0
2509107,Mari,0
2509156,Marizópolis,0
2509206,Massaranduba,0
2509305,Mataraca,0
2509339,Matinhas,0
2509370,Mato Grosso,0
2509396,Maturéia,0
2509404,Mogeiro,0
2509503,Montadas,0
2509602,Monte Horebe,0
2509701,Monteiro,0
2509800,Mulungu,0
2509909,Natuba,0
2510006,Nazarezinho,0
2510105,Nova Floresta,0
2510204,Nova Olinda,0
2510303,Nova Palmeira,0
2510402,Olho d'Água,0
2510501,Olivedos,0
2510600,Ouro Velho,0
2510659,Parari,0
2510709,Passagem,0
2510808,Patos,0
2510907,Paulista,0
2511004,Pedra Branca,0
2511103,Pedra Lavrada,0
2511202,Pedras de Fogo,0
2512721,Pedro Régis,0
2511301,Piancó,0
2511400,Picuí,0
2511509,Pilar,0
2511608,Pilões,0
2511707,Pilõezinhos,0
2511806,Pirpirituba,0
2511905,Pitimbu,0
2512002,Pocinhos,0
2512036,Poço Dantas,0
2512077,Poço de José de Moura,0
2512101,Pombal,0
2512200,Prata,0
2512309,Princesa Isabel,0
2512408,Puxinanã,0
2512507,Queimadas,0
2512606,Quixabá,0
2512705,Remígio,0
2512747,Riachão,0
2512754,Riachão do Bacamarte,0
2512762,Riachão do Poço,0
2512788,Riacho de Santo Antônio,0
2512804,Riacho dos Cavalos,0
2512903,Rio Tinto,0
2513000,Salgadinho,0
2513109,Salgado de São Félix,0
2513158,Santa Cecília,0
2513208,Santa Cruz,0
2513307,Santa Helena,0
2513356,Santa Inês,0
2513406,Santa Luzia,0
2513703,Santa Rita,0
2513802,Santa Teresinha,0
2513505,Santana de Mangueira,0
2513604,Santana dos Garrotes,0
2513851,Santo André,0
2513927,São Bentinho,0
2513901,São Bento,0
2513968,São Domingos,0
2513943,São Domingos do Cariri,0
2513984,São Francisco,0
2514008,São João do Cariri,0
2500700,São João do Rio do Peixe,0
2514107,São João do Tigre,0
2514206,São José da Lagoa Tapada,0
2514305,São José de Caiana,0
2514404,São José de Espinharas,0
2514503,São José de Piranhas,0
2514552,São José de Princesa,0
2514602,São José do Bonfim,0
2514651,São José do Brejo do Cruz,0
2514701,São José do Sabugi,0
2514800,São José dos Cordeiros,0
2514453,São José dos Ramos,0
2514909,São Mamede,0
2515005,São Miguel de Taipu,0
2515104,São Sebastião de Lagoa de Roça,0
2515203,São Sebastião do Umbuzeiro,0
2515401,São Vicente do Seridó,0
2515302,Sapé,0
2515500,Serra Branca,0
2515609,Serra da Raiz,0
2515708,Serra Grande,0
2515807,Serra Redonda,0
2515906,Serraria,0
2515930,Sertãozinho,0
2515971,Sobrado,0
2516003,Solânea,0
2516102,Soledade,0
2516151,Sossêgo,0
2516201,Sousa,0
2516300,Sumé,0
2516409,Tacima,0
2516508,Taperoá,0
2516607,Tavares,0
2516706,Teixeira,0
2516755,Tenório,0
2516805,Triunfo,0
2516904,Uiraúna,0
2517001,Umbuzeiro,0
2517100,Várzea,0
2517209,Vieirópolis,0
2505501,Vista Serrana,0
2517407,Zabelê,0
