"geocode","Municipio","value"
2500106,"Água Branca","0.89"
2500205,"Aguiar","0.90"
2500304,"Alagoa Grande","0.90"
2500403,"Alagoa Nova","0.85"
2500502,"Alagoinha","0.93"
2500536,"Alcantil","0.82"
2500577,"Algodão de Jandaíra","0.95"
2500601,"Alhandra","0.85"
2500734,"Amparo","0.89"
2500775,"Aparecida","0.90"
2500809,"Araçagi","0.73"
2500908,"Arara","0.92"
2501005,"Araruna","0.92"
2501104,"Areia","0.79"
2501153,"Areia de Baraúnas","0.77"
2501203,"Areial","0.91"
2501302,"Aroeiras","0.75"
2501351,"Assunção","0.87"
2501401,"Baía da Traição","0.98"
2501500,"Bananeiras","0.79"
2501534,"Baraúna","0.96"
2501609,"Barra de Santa Rosa","0.91"
2501575,"Barra de Santana","0.89"
2501708,"Barra de São Miguel","0.95"
2501807,"Bayeux","0.82"
2501906,"Belém","0.90"
2502003,"Belém do Brejo do Cruz","0.87"
2502052,"Bernardino Batista","0.84"
2502102,"Boa Ventura","0.82"
2502151,"Boa Vista","0.49"
2502201,"Bom Jesus","0.67"
2502300,"Bom Sucesso","0.82"
2502409,"Bonito de Santa Fé","0.90"
2502508,"Boqueirão","0.88"
2502706,"Borborema","0.91"
2502805,"Brejo do Cruz","0.92"
2502904,"Brejo dos Santos","0.80"
2503001,"Caaporã","0.77"
2503100,"Cabaceiras","0.88"
2503209,"Cabedelo","0.76"
2503308,"Cachoeira dos Índios","0.93"
2503407,"Cacimba de Areia","0.79"
2503506,"Cacimba de Dentro","0.88"
2503555,"Cacimbas","0.86"
2503605,"Caiçara","0.88"
2503704,"Cajazeiras","0.79"
2503753,"Cajazeirinhas","0.91"
2503803,"Caldas Brandão","0.89"
2503902,"Camalaú","0.83"
2504009,"Campina Grande","0.54"
2504033,"Capim","0.86"
2504074,"Caraúbas","0.89"
2504108,"Carrapateira","0.81"
2504157,"Casserengue","0.94"
2504207,"Catingueira","0.82"
2504306,"Catolé do Rocha","0.85"
2504355,"Caturité","0.76"
2504405,"Conceição","0.87"
2504504,"Condado","0.81"
2504603,"Conde","0.75"
2504702,"Congo","0.81"
2504801,"Coremas","0.77"
2504850,"Coxixola","0.89"
2504900,"Cruz do Espírito Santo","0.83"
2505006,"Cubati","0.89"
2505105,"Cuité","0.92"
2505238,"Cuité de Mamanguape","0.81"
2505204,"Cuitegi","0.91"
