,,geocode,Municipio,value
,,2500106,Água Branca,"2,00"
,,2500205,Aguiar,"2,00"
,,2500304,Alagoa Grande,"2,00"
,,2500403,Alagoa Nova,"2,00"
,,2500502,Alagoinha,"2,00"
,,2500536,Alcantil,"2,00"
,,2500577,Algodão de Jandaíra,"2,00"
,,2500601,Alhandra,"2,00"
,,2500734,Amparo,"2,00"
,,2500775,Aparecida,"2,00"
,,2500809,Araçagi,"2,00"
,,2500908,Arara,"2,00"
,,2501005,Araruna,"2,00"
,,2501104,Areia,"2,00"
,,2501153,Areia de Baraúnas,"2,00"
,,2501203,Areial,"2,00"
,,2501302,Aroeiras,"2,00"
,,2501351,Assunção,"2,00"
,,2501401,Baía da Traição,"2,00"
,,2501500,Bananeiras,"2,00"
,,2501534,Baraúna,"2,00"
,,2501609,Barra de Santa Rosa,"2,00"
,,2501575,Barra de Santana,"2,00"
,,2501708,Barra de São Miguel,"2,00"
,,2501807,Bayeux,"2,00"
,,2501906,Belém,"2,00"
,,2502003,Belém do Brejo do Cruz,"2,00"
,,2502052,Bernardino Batista,"2,00"
,,2502102,Boa Ventura,"2,00"
,,2502151,Boa Vista,"2,00"
,,2502201,Bom Jesus,"2,00"
,,2502300,Bom Sucesso,"2,00"
,,2502409,Bonito de Santa Fé,"2,00"
,,2502508,Boqueirão,"2,00"
,,2502706,Borborema,"2,00"
,,2502805,Brejo do Cruz,"2,00"
,,2502904,Brejo dos Santos,"2,00"
,,2503001,Caaporã,"2,00"
,,2503100,Cabaceiras,"2,00"
,,2503209,Cabedelo,"2,00"
,,2503308,Cachoeira dos Índios,"2,00"
,,2503407,Cacimba de Areia,"2,00"
,,2503506,Cacimba de Dentro,"2,00"
,,2503555,Cacimbas,"2,00"
,,2503605,Caiçara,"2,00"
,,2503704,Cajazeiras,"2,00"
,,2503753,Cajazeirinhas,"2,00"
,,2503803,Caldas Brandão,"2,00"
,,2503902,Camalaú,"2,00"
,,2504009,Campina Grande,"2,00"
,,2504033,Capim,"2,00"
,,2504074,Caraúbas,"2,00"
,,2504108,Carrapateira,"2,00"
,,2504157,Casserengue,"2,00"
,,2504207,Catingueira,"2,00"
,,2504306,Catolé do Rocha,"2,00"
,,2504355,Caturité,"2,00"
,,2504405,Conceição,"2,00"
,,2504504,Condado,"2,00"
,,2504603,Conde,"2,00"
,,2504702,Congo,"2,00"
,,2504801,Coremas,"2,00"
,,2504850,Coxixola,"2,00"
,,2504900,Cruz do Espírito Santo,"2,00"
,,2505006,Cubati,"2,00"
,,2505105,Cuité,"2,00"
,,2505238,Cuité de Mamanguape,"2,00"
,,2505204,Cuitegi,"2,00"
,,2505279,Curral de Cima,"2,00"
,,2505303,Curral Velho,"2,00"
,,2505352,Damião,"2,00"
,,2505402,Desterro,"2,00"
,,2505600,Diamante,"2,00"
,,2505709,Dona Inês,"2,00"
,,2505808,Duas Estradas,"2,00"
,,2505907,Emas,"2,00"
,,2506004,Esperança,"2,00"
,,2506103,Fagundes,"2,00"
,,2506202,Frei Martinho,"2,00"
,,2506251,Gado Bravo,"2,00"
,,2506301,Guarabira,"2,00"
,,2506400,Gurinhém,"2,00"
,,2506509,Gurjão,"2,00"
,,2506608,Ibiara,"2,00"
,,2502607,Igaracy,"2,00"
,,2506707,Imaculada,"2,00"
,,2506806,Ingá,"2,00"
,,2506905,Itabaiana,"2,00"
,,2507002,Itaporanga,"2,00"
,,2507101,Itapororoca,"2,00"
,,2507200,Itatuba,"2,00"
,,2507309,Jacaraú,"2,00"
,,2507408,Jericó,"2,00"
,,2507507,João Pessoa,"2,00"
,,2513653,Joca Claudino,"2,00"
,,2507606,Juarez Távora,"2,00"
,,2507705,Juazeirinho,"2,00"
,,2507804,Junco do Seridó,"2,00"
,,2507903,Juripiranga,"2,00"
,,2508000,Juru,"2,00"
,,2508109,Lagoa,"2,00"
,,2508208,Lagoa de Dentro,"2,00"
,,2508307,Lagoa Seca,"2,00"
,,2508406,Lastro,"2,00"
,,2508505,Livramento,"2,00"
,,2508554,Logradouro,"2,00"
,,2508604,Lucena,"2,00"
,,2508703,Mãe d'Água,"2,00"
,,2508802,Malta,"2,00"
,,2508901,Mamanguape,"2,00"
,,2509008,Manaíra,"2,00"
,,2509057,Marcação,"2,00"
,,2509107,Mari,"2,00"
,,2509156,Marizópolis,"2,00"
,,2509206,Massaranduba,"2,00"
,,2509305,Mataraca,"2,00"
,,2509339,Matinhas,"2,00"
,,2509370,Mato Grosso,"2,00"
,,2509396,Maturéia,"2,00"
,,2509404,Mogeiro,"2,00"
,,2509503,Montadas,"2,00"
,,2509602,Monte Horebe,"2,00"
,,2509701,Monteiro,"2,00"
,,2509800,Mulungu,"2,00"
,,2509909,Natuba,"2,00"
,,2510006,Nazarezinho,"2,00"
,,2510105,Nova Floresta,"2,00"
,,2510204,Nova Olinda,"2,00"
,,2510303,Nova Palmeira,"2,00"
,,2510402,Olho d'Água,"2,00"
,,2510501,Olivedos,"2,00"
,,2510600,Ouro Velho,"2,00"
,,2510659,Parari,"2,00"
,,2510709,Passagem,"2,00"
,,2510808,Patos,"2,00"
,,2510907,Paulista,"2,00"
,,2511004,Pedra Branca,"2,00"
,,2511103,Pedra Lavrada,"2,00"
,,2511202,Pedras de Fogo,"2,00"
,,2512721,Pedro Régis,"2,00"
,,2511301,Piancó,"2,00"
,,2511400,Picuí,"2,00"
,,2511509,Pilar,"2,00"
,,2511608,Pilões,"2,00"
,,2511707,Pilõezinhos,"2,00"
,,2511806,Pirpirituba,"2,00"
,,2511905,Pitimbu,"2,00"
,,2512002,Pocinhos,"2,00"
,,2512036,Poço Dantas,"2,00"
,,2512077,Poço de José de Moura,"2,00"
,,2512101,Pombal,"2,00"
,,2512200,Prata,"2,00"
,,2512309,Princesa Isabel,"2,00"
,,2512408,Puxinanã,"2,00"
,,2512507,Queimadas,"2,00"
,,2512606,Quixabá,"2,00"
,,2512705,Remígio,"2,00"
,,2512747,Riachão,"2,00"
,,2512754,Riachão do Bacamarte,"2,00"
,,2512762,Riachão do Poço,"2,00"
,,2512788,Riacho de Santo Antônio,"2,00"
,,2512804,Riacho dos Cavalos,"2,00"
,,2512903,Rio Tinto,"2,00"
,,2513000,Salgadinho,"2,00"
,,2513109,Salgado de São Félix,"2,00"
,,2513158,Santa Cecília,"2,00"
,,2513208,Santa Cruz,"2,00"
,,2513307,Santa Helena,"2,00"
,,2513356,Santa Inês,"2,00"
,,2513406,Santa Luzia,"2,00"
,,2513703,Santa Rita,"2,00"
,,2513802,Santa Teresinha,"2,00"
,,2513505,Santana de Mangueira,"2,00"
,,2513604,Santana dos Garrotes,"2,00"
,,2513851,Santo André,"2,00"
,,2513927,São Bentinho,"2,00"
,,2513901,São Bento,"2,00"
,,2513968,São Domingos,"2,00"
,,2513943,São Domingos do Cariri,"2,00"
,,2513984,São Francisco,"2,00"
,,2514008,São João do Cariri,"2,00"
,,2500700,São João do Rio do Peixe,"2,00"
,,2514107,São João do Tigre,"2,00"
,,2514206,São José da Lagoa Tapada,"2,00"
,,2514305,São José de Caiana,"2,00"
,,2514404,São José de Espinharas,"2,00"
,,2514503,São José de Piranhas,"2,00"
,,2514552,São José de Princesa,"2,00"
,,2514602,São José do Bonfim,"2,00"
,,2514651,São José do Brejo do Cruz,"2,00"
,,2514701,São José do Sabugi,"2,00"
,,2514800,São José dos Cordeiros,"2,00"
,,2514453,São José dos Ramos,"2,00"
,,2514909,São Mamede,"2,00"
,,2515005,São Miguel de Taipu,"2,00"
,,2515104,São Sebastião de Lagoa de Roça,"2,00"
,,2515203,São Sebastião do Umbuzeiro,"2,00"
,,2515401,São Vicente do Seridó,"2,00"
,,2515302,Sapé,"2,00"
,,2515500,Serra Branca,"2,00"
,,2515609,Serra da Raiz,"2,00"
,,2515708,Serra Grande,"2,00"
,,2515807,Serra Redonda,"2,00"
,,2515906,Serraria,"2,00"
,,2515930,Sertãozinho,"2,00"
,,2515971,Sobrado,"2,00"
,,2516003,Solânea,"2,00"
,,2516102,Soledade,"2,00"
,,2516151,Sossêgo,"2,00"
,,2516201,Sousa,"2,00"
,,2516300,Sumé,"2,00"
,,2516409,Tacima,"2,00"
,,2516508,Taperoá,"2,00"
,,2516607,Tavares,"2,00"
,,2516706,Teixeira,"2,00"
,,2516755,Tenório,"2,00"
,,2516805,Triunfo,"2,00"
,,2516904,Uiraúna,"2,00"
,,2517001,Umbuzeiro,"2,00"
,,2517100,Várzea,"2,00"
,,2517209,Vieirópolis,"2,00"
,,2505501,Vista Serrana,"2,00"
,,2517407,Zabelê,"2,00"
