geocode,Municipio,value
2500106,Água Branca,"0,00"
2500205,Aguiar,"0,00"
2500304,Alagoa Grande,"0,57"
2500403,Alagoa Nova,"0,43"
2500502,Alagoinha,"0,56"
2500536,Alcantil,"0,00"
2500577,Algodão de Jandaíra,"0,00"
2500601,Alhandra,"0,78"
2500734,Amparo,"0,00"
2500775,Aparecida,"0,21"
2500809,Araçagi,"0,16"
2500908,Arara,"0,40"
2501005,Araruna,"0,22"
2501104,Areia,"0,16"
2501153,Areia de Baraúnas,"0,00"
2501203,Areial,"0,13"
2501302,Aroeiras,"0,14"
2501351,Assunção,"0,22"
2501401,Baía da Traição,"0,60"
2501500,Bananeiras,"0,04"
2501534,Baraúna,"0,00"
2501609,Barra de Santa Rosa,"0,06"
2501575,Barra de Santana,"0,32"
2501708,Barra de São Miguel,"0,00"
2501807,Bayeux,"0,79"
2501906,Belém,"0,61"
2502003,Belém do Brejo do Cruz,"0,00"
2502052,Bernardino Batista,"0,00"
2502102,Boa Ventura,"0,00"
2502151,Boa Vista,"0,13"
2502201,Bom Jesus,"0,70"
2502300,Bom Sucesso,"0,00"
2502409,Bonito de Santa Fé,"0,00"
2502508,Boqueirão,"0,56"
2502706,Borborema,"0,17"
2502805,Brejo do Cruz,"0,13"
2502904,Brejo dos Santos,"0,00"
2503001,Caaporã,"0,62"
2503100,Cabaceiras,"0,00"
2503209,Cabedelo,"0,67"
2503308,Cachoeira dos Índios,"0,35"
2503407,Cacimba de Areia,"0,00"
2503506,Cacimba de Dentro,"0,26"
2503555,Cacimbas,"0,00"
2503605,Caiçara,"0,63"
2503704,Cajazeiras,"0,48"
2503753,Cajazeirinhas,"0,00"
2503803,Caldas Brandão,"0,30"
2503902,Camalaú,"0,00"
2504009,Campina Grande,"0,68"
2504033,Capim,"0,55"
2504074,Caraúbas,"0,00"
2504108,Carrapateira,"0,34"
2504157,Casserengue,"0,24"
2504207,Catingueira,"0,18"
2504306,Catolé do Rocha,"0,21"
2504355,Caturité,"0,37"
2504405,Conceição,"0,24"
2504504,Condado,"0,54"
2504603,Conde,"0,36"
2504702,Congo,"0,19"
2504801,Coremas,"0,12"
2504850,Coxixola,"0,00"
2504900,Cruz do Espírito Santo,"0,78"
2505006,Cubati,"0,12"
2505105,Cuité,"0,04"
2505238,Cuité de Mamanguape,"0,28"
2505204,Cuitegi,"0,53"
2505279,Curral de Cima,"0,17"
2505303,Curral Velho,"0,00"
2505352,Damião,"0,34"
2505402,Desterro,"0,11"
2505600,Diamante,"0,42"
2505709,Dona Inês,"0,09"
2505808,Duas Estradas,"0,25"
2505907,Emas,"0,77"
2506004,Esperança,"0,27"
2506103,Fagundes,"0,56"
2506202,Frei Martinho,"0,00"
