geocode,Municipio,value
2500106,Água Branca,"0,33"
2500205,Aguiar,"0,30"
2500304,Alagoa Grande,"0,53"
2500403,Alagoa Nova,"0,34"
2500502,Alagoinha,"0,29"
2500536,Alcantil,"0,33"
2500577,Algodão de Jandaíra,"0,20"
2500601,Alhandra,"0,21"
2500734,Amparo,"0,00"
2500775,Aparecida,"0,27"
2500809,Araçagi,"0,62"
2500908,Arara,"0,39"
2501005,Araruna,"0,56"
2501104,Areia,"0,33"
2501153,Areia de Baraúnas,"0,32"
2501203,Areial,"0,53"
2501302,Aroeiras,"0,38"
2501351,Assunção,"0,00"
2501401,Baía da Traição,"0,46"
2501500,Bananeiras,"0,16"
2501534,Baraúna,"0,31"
2501609,Barra de Santa Rosa,"0,17"
2501575,Barra de Santana,"0,70"
2501708,Barra de São Miguel,"0,34"
2501807,Bayeux,"0,36"
2501906,Belém,"0,21"
2502003,Belém do Brejo do Cruz,"0,21"
2502052,Bernardino Batista,"0,51"
2502102,Boa Ventura,"0,38"
2502151,Boa Vista,"0,28"
2502201,Bom Jesus,"0,25"
2502300,Bom Sucesso,"0,00"
2502409,Bonito de Santa Fé,"0,17"
2502508,Boqueirão,"0,17"
2502706,Borborema,"0,26"
2502805,Brejo do Cruz,"0,21"
2502904,Brejo dos Santos,"0,00"
2503001,Caaporã,"0,30"
2503100,Cabaceiras,"0,30"
2503209,Cabedelo,"0,20"
2503308,Cachoeira dos Índios,"0,34"
2503407,Cacimba de Areia,"0,20"
2503506,Cacimba de Dentro,"0,25"
2503555,Cacimbas,"0,53"
2503605,Caiçara,"0,10"
2503704,Cajazeiras,"0,35"
2503753,Cajazeirinhas,"0,00"
2503803,Caldas Brandão,"0,11"
2503902,Camalaú,"0,33"
2504009,Campina Grande,"0,23"
2504033,Capim,"0,64"
2504074,Caraúbas,"0,00"
2504108,Carrapateira,"0,35"
2504157,Casserengue,"0,61"
2504207,Catingueira,"0,14"
2504306,Catolé do Rocha,"0,25"
2504355,Caturité,"0,75"
2504405,Conceição,"0,31"
2504504,Condado,"0,09"
2504603,Conde,"0,39"
2504702,Congo,"0,00"
2504801,Coremas,"0,31"
2504850,Coxixola,"0,46"
2504900,Cruz do Espírito Santo,"0,52"
2505006,Cubati,"0,28"
2505105,Cuité,"0,14"
2505238,Cuité de Mamanguape,"0,00"
2505204,Cuitegi,"0,41"
2505279,Curral de Cima,"0,25"
2505303,Curral Velho,"0,00"
2505352,Damião,"0,55"
2505402,Desterro,"0,47"
2505600,Diamante,"0,23"
2505709,Dona Inês,"0,31"
2505808,Duas Estradas,"0,00"
2505907,Emas,"0,46"
2506004,Esperança,"0,23"
2506103,Fagundes,"0,21"
2506202,Frei Martinho,"0,00"
2506251,Gado Bravo,"0,22"
2506301,Guarabira,"0,30"
2506400,Gurinhém,"0,24"
2506509,Gurjão,"0,88"
2506608,Ibiara,"0,13"
2502607,Igaracy,"0,26"
2506707,Imaculada,"0,56"
2506806,Ingá,"0,26"
2506905,Itabaiana,"0,39"
2507002,Itaporanga,"0,31"
2507101,Itapororoca,"0,26"
2507200,Itatuba,"0,23"
2507309,Jacaraú,"0,26"
2507408,Jericó,"0,10"
2507507,João Pessoa,"0,28"
2513653,Joca Claudino,"0,34"
2507606,Juarez Távora,"0,25"
2507705,Juazeirinho,"0,65"
2507804,Junco do Seridó,"0,46"
2507903,Juripiranga,"0,40"
2508000,Juru,"0,22"
2508109,Lagoa,"0,50"
