geocode,Municipio,value
1KME5795N8739,IGARATÁ,"0,4"
1KME5795N8740,IGARATÁ,"0,6"
1KME5795N8741,IGARATÁ,"0,6"
1KME5795N8742,IGARATÁ,"0,6"
1KME5796N8739,IGARATÁ,"0,2"
1KME5796N8740,IGARATÁ,1
1KME5796N8741,IGARATÁ,1
1KME5796N8742,IGARATÁ,1
1KME5796N8743,IGARATÁ,"0,4"
1KME5797N8739,IGARATÁ,1
1KME5797N8740,IGARATÁ,"0,6"
1KME5797N8741,IGARATÁ,1
1KME5797N8742,IGARATÁ,"0,6"
1KME5797N8743,IGARATÁ,"0,4"
1KME5797N8744,IGARATÁ,"0,4"
1KME5798N8738,IGARATÁ,1
1KME5798N8739,IGARATÁ,1
1KME5798N8740,IGARATÁ,"0,4"
1KME5798N8741,IGARATÁ,1
1KME5798N8742,IGARATÁ,"0,6"
1KME5798N8743,IGARATÁ,1
1KME5798N8744,IGARATÁ,"0,2"
1KME5798N8745,IGARATÁ,"0,4"
1KME5799N8738,IGARATÁ,"0,2"
1KME5799N8739,IGARATÁ,"0,4"
1KME5799N8740,IGARATÁ,"0,2"
1KME5799N8741,IGARATÁ,1
1KME5799N8742,IGARATÁ,1
1KME5799N8743,IGARATÁ,1
1KME5799N8744,IGARATÁ,"0,2"
1KME5799N8745,IGARATÁ,"0,2"
1KME5799N8746,IGARATÁ,"0,2"
200ME58002N87482,IGARATÁ,"0,2"
200ME58004N87482,IGARATÁ,"0,2"
200ME58006N87482,IGARATÁ,"0,2"
200ME58008N87482,IGARATÁ,"0,2"
200ME58004N87484,IGARATÁ,"0,2"
200ME58006N87484,IGARATÁ,"0,2"
200ME58008N87484,IGARATÁ,"0,2"
200ME58008N87486,IGARATÁ,"0,2"
200ME58008N87488,IGARATÁ,"0,2"
200ME58010N87482,IGARATÁ,"0,2"
200ME58012N87482,IGARATÁ,"0,2"
200ME58014N87482,IGARATÁ,"0,2"
200ME58016N87482,IGARATÁ,"0,2"
200ME58018N87482,IGARATÁ,"0,2"
200ME58010N87484,IGARATÁ,"0,2"
200ME58012N87484,IGARATÁ,"0,2"
200ME58014N87484,IGARATÁ,"0,2"
200ME58016N87484,IGARATÁ,"0,2"
200ME58018N87484,IGARATÁ,"0,2"
200ME58010N87486,IGARATÁ,"0,2"
200ME58012N87486,IGARATÁ,"0,2"
200ME58014N87486,IGARATÁ,"0,2"
200ME58016N87486,IGARATÁ,"0,2"
200ME58018N87486,IGARATÁ,"0,2"
200ME58010N87488,IGARATÁ,"0,2"
200ME58012N87488,IGARATÁ,"0,2"
200ME58014N87488,IGARATÁ,"0,2"
200ME58016N87488,IGARATÁ,"0,2"
200ME58018N87488,IGARATÁ,"0,2"
200ME58010N87490,IGARATÁ,"0,2"
200ME58012N87490,IGARATÁ,"0,2"
200ME58014N87490,IGARATÁ,"0,2"
200ME58016N87490,IGARATÁ,"0,2"
200ME58018N87490,IGARATÁ,"0,2"
200ME58010N87492,IGARATÁ,"0,2"
200ME58012N87492,IGARATÁ,"0,2"
200ME58014N87492,IGARATÁ,"0,2"
200ME58016N87492,IGARATÁ,"0,2"
200ME58018N87492,IGARATÁ,"0,2"
200ME58010N87494,IGARATÁ,"0,2"
200ME58012N87494,IGARATÁ,"0,2"
200ME58014N87494,IGARATÁ,"0,2"
200ME58016N87494,IGARATÁ,"0,2"
200ME58018N87494,IGARATÁ,"0,2"
200ME58010N87496,IGARATÁ,"0,2"
200ME58012N87496,IGARATÁ,"0,2"
200ME58014N87496,IGARATÁ,"0,2"
200ME58016N87496,IGARATÁ,"0,2"
200ME58018N87496,IGARATÁ,"0,2"
200ME58012N87498,IGARATÁ,"0,2"
200ME58014N87498,IGARATÁ,"0,2"
200ME58016N87498,IGARATÁ,"0,2"
200ME58018N87498,IGARATÁ,"0,2"
200ME58014N87500,IGARATÁ,"0,2"
200ME58016N87500,IGARATÁ,"0,2"
200ME58018N87500,IGARATÁ,"0,2"
200ME58012N87502,IGARATÁ,"0,2"
200ME58014N87502,IGARATÁ,"0,2"
200ME58016N87502,IGARATÁ,"0,2"
200ME58018N87502,IGARATÁ,"0,2"
200ME58012N87504,IGARATÁ,"0,2"
200ME58014N87504,IGARATÁ,"0,2"
200ME58016N87504,IGARATÁ,"0,2"
200ME58018N87504,IGARATÁ,"0,2"
200ME58012N87506,IGARATÁ,"0,2"
200ME58014N87506,IGARATÁ,"0,2"
200ME58016N87506,IGARATÁ,"0,2"
200ME58018N87506,IGARATÁ,"0,2"
200ME58014N87508,IGARATÁ,"0,2"
200ME58016N87508,IGARATÁ,"0,2"
200ME58018N87508,IGARATÁ,"0,2"
