geocode,Municipio,value
1KME5795N8739,Igaratá,1
1KME5795N8740,Igaratá,0
1KME5795N8741,Igaratá,0
1KME5795N8742,Igaratá,0
1KME5796N8739,Igaratá,0
1KME5796N8740,Igaratá,1
1KME5796N8741,Igaratá,1
1KME5796N8742,Igaratá,1
1KME5796N8743,Igaratá,1
1KME5797N8739,Igaratá,1
1KME5797N8740,Igaratá,0
1KME5797N8741,Igaratá,1
1KME5797N8742,Igaratá,0
1KME5797N8743,Igaratá,1
1KME5797N8744,Igaratá,1
1KME5798N8738,Igaratá,1
1KME5798N8739,Igaratá,1
1KME5798N8740,Igaratá,1
1KME5798N8741,Igaratá,1
1KME5798N8742,Igaratá,0
1KME5798N8743,Igaratá,1
1KME5798N8744,Igaratá,0
1KME5798N8745,Igaratá,1
1KME5799N8738,Igaratá,0
1KME5799N8739,Igaratá,1
1KME5799N8740,Igaratá,0
1KME5799N8741,Igaratá,1
1KME5799N8742,Igaratá,1
1KME5799N8743,Igaratá,1
1KME5799N8744,Igaratá,0
1KME5799N8745,Igaratá,0
1KME5799N8746,Igaratá,0
1KME5800N8737,Igaratá,1
1KME5800N8738,Igaratá,1
1KME5800N8739,Igaratá,1
1KME5800N8740,Igaratá,1
1KME5800N8741,Igaratá,1
1KME5800N8742,Igaratá,1
1KME5800N8743,Igaratá,1
1KME5800N8744,Igaratá,0
1KME5800N8745,Igaratá,0
1KME5800N8746,Igaratá,1
1KME5800N8747,Igaratá,0
1KME5801N8735,Igaratá,1
1KME5801N8736,Igaratá,1
1KME5801N8737,Igaratá,1
1KME5801N8738,Igaratá,1
1KME5801N8739,Igaratá,1
1KME5801N8740,Igaratá,1
1KME5801N8741,Igaratá,1
1KME5801N8742,Igaratá,1
1KME5801N8743,Igaratá,0
1KME5801N8744,Igaratá,1
1KME5801N8745,Igaratá,0
1KME5801N8746,Igaratá,0
1KME5801N8747,Igaratá,0
1KME5802N8735,Igaratá,1
1KME5802N8736,Igaratá,1
1KME5802N8737,Igaratá,1
1KME5802N8738,Igaratá,0
1KME5802N8739,Igaratá,1
1KME5802N8740,Igaratá,1
1KME5802N8741,Igaratá,1
1KME5802N8742,Igaratá,0
1KME5802N8743,Igaratá,0
1KME5802N8744,Igaratá,1
1KME5802N8745,Igaratá,0
1KME5802N8746,Igaratá,1
1KME5802N8747,Igaratá,0
1KME5802N8748,Igaratá,0
1KME5802N8749,Igaratá,0
1KME5802N8750,Igaratá,0
1KME5803N8736,Igaratá,0
1KME5803N8740,Igaratá,1
1KME5803N8741,Igaratá,1
1KME5803N8742,Igaratá,1
1KME5803N8743,Igaratá,1
1KME5803N8744,Igaratá,0
1KME5803N8745,Igaratá,1
1KME5803N8746,Igaratá,1
1KME5803N8747,Igaratá,1
1KME5803N8748,Igaratá,1
1KME5803N8749,Igaratá,1
1KME5803N8750,Igaratá,0
1KME5804N8740,Igaratá,1
1KME5804N8741,Igaratá,0
1KME5804N8742,Igaratá,0
1KME5804N8743,Igaratá,1
1KME5804N8744,Igaratá,1
1KME5804N8745,Igaratá,1
1KME5804N8746,Igaratá,0
1KME5804N8747,Igaratá,0
1KME5804N8748,Igaratá,0
1KME5804N8749,Igaratá,0
1KME5804N8750,Igaratá,0
1KME5805N8741,Igaratá,1
1KME5805N8742,Igaratá,1
1KME5805N8743,Igaratá,0
1KME5805N8744,Igaratá,0
1KME5805N8745,Igaratá,1
1KME5805N8746,Igaratá,0
1KME5805N8747,Igaratá,0
1KME5805N8748,Igaratá,0
1KME5805N8749,Igaratá,0
1KME5805N8750,Igaratá,0
1KME5805N8751,Igaratá,0
1KME5806N8729,Jacareí,1
1KME5806N8730,Jacareí,1
1KME5806N8743,Igaratá,0
1KME5806N8744,Igaratá,0
1KME5806N8745,Igaratá,1
1KME5806N8746,Igaratá,1
1KME5806N8747,Igaratá,0
1KME5806N8748,Igaratá,0
1KME5806N8749,Igaratá,0
1KME5806N8750,Igaratá,0
