geocode,Municipio,value
1KME5842N8788,São Bento do Sapucaí,0
1KME5842N8789,São Bento do Sapucaí,0
1KME5842N8790,São Bento do Sapucaí,0
1KME5842N8791,São Bento do Sapucaí,0
1KME5843N8787,São Bento do Sapucaí,0
1KME5843N8788,São Bento do Sapucaí,0
1KME5843N8789,São Bento do Sapucaí,0
1KME5843N8790,São Bento do Sapucaí,0
1KME5843N8791,São Bento do Sapucaí,0
1KME5843N8792,São Bento do Sapucaí,0
1KME5844N8787,São Bento do Sapucaí,0
1KME5844N8788,São Bento do Sapucaí,0
1KME5844N8789,São Bento do Sapucaí,0
1KME5844N8790,São Bento do Sapucaí,0
1KME5844N8791,São Bento do Sapucaí,0
1KME5844N8792,São Bento do Sapucaí,0
1KME5845N8787,São Bento do Sapucaí,0
1KME5845N8788,São Bento do Sapucaí,0
1KME5845N8789,São Bento do Sapucaí,0
1KME5845N8790,São Bento do Sapucaí,0
1KME5845N8791,São Bento do Sapucaí,0
1KME5845N8792,São Bento do Sapucaí,0
1KME5845N8793,São Bento do Sapucaí,0
1KME5846N8788,São Bento do Sapucaí,0
1KME5846N8789,São Bento do Sapucaí,0
1KME5846N8790,São Bento do Sapucaí,0
1KME5846N8791,São Bento do Sapucaí,0
1KME5846N8792,São Bento do Sapucaí,0
1KME5846N8793,São Bento do Sapucaí,0
1KME5847N8777,Santo Antônio do Pinhal,0
1KME5847N8778,Santo Antônio do Pinhal,0
1KME5847N8779,Santo Antônio do Pinhal,0
1KME5847N8780,Santo Antônio do Pinhal,0
1KME5847N8788,São Bento do Sapucaí,0
1KME5847N8789,São Bento do Sapucaí,0
1KME5847N8790,São Bento do Sapucaí,0
1KME5847N8791,São Bento do Sapucaí,0
1KME5847N8792,São Bento do Sapucaí,0
1KME5847N8793,São Bento do Sapucaí,0
1KME5847N8794,São Bento do Sapucaí,0
1KME5848N8773,Santo Antônio do Pinhal,0
1KME5848N8774,Santo Antônio do Pinhal,0
1KME5848N8775,Santo Antônio do Pinhal,0
1KME5848N8776,Santo Antônio do Pinhal,0
1KME5848N8777,Santo Antônio do Pinhal,0
1KME5848N8778,Santo Antônio do Pinhal,0
1KME5848N8779,Santo Antônio do Pinhal,0
1KME5848N8780,Santo Antônio do Pinhal,0
1KME5848N8781,Santo Antônio do Pinhal,0
1KME5848N8789,São Bento do Sapucaí,0
1KME5848N8790,São Bento do Sapucaí,0
1KME5848N8791,São Bento do Sapucaí,0
1KME5848N8792,São Bento do Sapucaí,0
1KME5848N8793,São Bento do Sapucaí,0
1KME5848N8794,São Bento do Sapucaí,0
1KME5848N8795,São Bento do Sapucaí,0
1KME5849N8772,Santo Antônio do Pinhal,0
1KME5849N8773,Santo Antônio do Pinhal,0
1KME5849N8774,Santo Antônio do Pinhal,0
1KME5849N8775,Santo Antônio do Pinhal,0
1KME5849N8776,Santo Antônio do Pinhal,0
1KME5849N8777,Santo Antônio do Pinhal,0
1KME5849N8778,Santo Antônio do Pinhal,0
1KME5849N8779,Santo Antônio do Pinhal,0
1KME5849N8780,Santo Antônio do Pinhal,0
1KME5849N8781,Santo Antônio do Pinhal,0
1KME5849N8789,São Bento do Sapucaí,0
1KME5849N8790,São Bento do Sapucaí,0
1KME5849N8791,São Bento do Sapucaí,0
1KME5849N8793,São Bento do Sapucaí,0
1KME5849N8794,São Bento do Sapucaí,0
1KME5849N8795,São Bento do Sapucaí,0
1KME5850N8771,Santo Antônio do Pinhal,0
1KME5850N8772,Santo Antônio do Pinhal,0
1KME5850N8773,Santo Antônio do Pinhal,0
1KME5850N8774,Santo Antônio do Pinhal,0
1KME5850N8775,Santo Antônio do Pinhal,0
1KME5850N8776,Santo Antônio do Pinhal,0
1KME5850N8777,Santo Antônio do Pinhal,0
1KME5850N8778,Santo Antônio do Pinhal,0
1KME5850N8779,Santo Antônio do Pinhal,0
1KME5850N8789,São Bento do Sapucaí,0
1KME5850N8795,São Bento do Sapucaí,0
1KME5850N8796,São Bento do Sapucaí,0
1KME5851N8761,Taubaté,0
1KME5851N8771,Santo Antônio do Pinhal,0
1KME5851N8772,Santo Antônio do Pinhal,0
1KME5851N8773,Santo Antônio do Pinhal,0
1KME5851N8774,Santo Antônio do Pinhal,0
1KME5851N8775,Santo Antônio do Pinhal,0
1KME5851N8776,Santo Antônio do Pinhal,0
1KME5851N8777,Santo Antônio do Pinhal,0
1KME5851N8778,Santo Antônio do Pinhal,0
1KME5851N8779,Santo Antônio do Pinhal,0
1KME5851N8780,Santo Antônio do Pinhal,0
1KME5851N8781,Santo Antônio do Pinhal,0
1KME5851N8782,Santo Antônio do Pinhal,0
1KME5851N8788,São Bento do Sapucaí,0
1KME5851N8789,São Bento do Sapucaí,0
1KME5851N8795,São Bento do Sapucaí,0
1KME5851N8796,São Bento do Sapucaí,0
1KME5851N8800,São Bento do Sapucaí,0
1KME5851N8801,São Bento do Sapucaí,0
1KME5851N8802,São Bento do Sapucaí,0
1KME5851N8803,São Bento do Sapucaí,0
1KME5852N8758,Taubaté,0
1KME5852N8759,Taubaté,0
1KME5852N8760,Taubaté,0
1KME5852N8761,Taubaté,0
1KME5852N8762,Taubaté,0
1KME5852N8771,Santo Antônio do Pinhal,0
1KME5852N8772,Santo Antônio do Pinhal,0
1KME5852N8773,Santo Antônio do Pinhal,0
1KME5852N8774,Santo Antônio do Pinhal,0
1KME5852N8775,Santo Antônio do Pinhal,0
1KME5852N8776,Santo Antônio do Pinhal,0
1KME5852N8777,Santo Antônio do Pinhal,0
1KME5852N8778,Santo Antônio do Pinhal,0
1KME5852N8779,Santo Antônio do Pinhal,0
1KME5852N8780,Santo Antônio do Pinhal,0
1KME5852N8781,Santo Antônio do Pinhal,0
1KME5852N8782,Santo Antônio do Pinhal,0
1KME5852N8783,Santo Antônio do Pinhal,0
1KME5852N8785,São Bento do Sapucaí,0
1KME5852N8786,São Bento do Sapucaí,0
1KME5852N8787,São Bento do Sapucaí,0
1KME5852N8788,São Bento do Sapucaí,0
1KME5852N8789,São Bento do Sapucaí,0
1KME5852N8790,São Bento do Sapucaí,0
1KME5852N8791,São Bento do Sapucaí,0
1KME5852N8792,São Bento do Sapucaí,0
1KME5852N8795,São Bento do Sapucaí,0
1KME5852N8796,São Bento do Sapucaí,0
1KME5852N8800,São Bento do Sapucaí,0
1KME5852N8801,São Bento do Sapucaí,0
1KME5852N8802,São Bento do Sapucaí,0
1KME5852N8803,São Bento do Sapucaí,0
1KME5852N8804,São Bento do Sapucaí,0
1KME5853N8757,Taubaté,0
1KME5853N8758,Taubaté,0
1KME5853N8759,Taubaté,0
1KME5853N8760,Taubaté,0
1KME5853N8761,Taubaté,0
1KME5853N8762,Taubaté,0
1KME5853N8763,Taubaté,0
1KME5853N8771,Santo Antônio do Pinhal,0
1KME5853N8772,Santo Antônio do Pinhal,0
1KME5853N8773,Santo Antônio do Pinhal,0
1KME5853N8774,Santo Antônio do Pinhal,0
1KME5853N8775,Santo Antônio do Pinhal,0
1KME5853N8776,Santo Antônio do Pinhal,0
1KME5853N8777,Santo Antônio do Pinhal,0
1KME5853N8778,Santo Antônio do Pinhal,0
1KME5853N8779,Santo Antônio do Pinhal,0
1KME5853N8780,Santo Antônio do Pinhal,0
1KME5853N8781,Santo Antônio do Pinhal,0
1KME5853N8784,São Bento do Sapucaí,0
1KME5853N8785,São Bento do Sapucaí,0
1KME5853N8786,São Bento do Sapucaí,0
1KME5853N8787,São Bento do Sapucaí,0
1KME5853N8788,São Bento do Sapucaí,0
1KME5853N8789,São Bento do Sapucaí,0
1KME5853N8790,São Bento do Sapucaí,0
1KME5853N8791,São Bento do Sapucaí,0
1KME5853N8792,São Bento do Sapucaí,0
1KME5853N8795,São Bento do Sapucaí,0
1KME5853N8796,São Bento do Sapucaí,0
1KME5853N8798,São Bento do Sapucaí,0
1KME5853N8799,São Bento do Sapucaí,0
1KME5853N8800,São Bento do Sapucaí,0
1KME5853N8801,São Bento do Sapucaí,0
1KME5853N8802,São Bento do Sapucaí,0
1KME5853N8803,São Bento do Sapucaí,0
1KME5853N8804,São Bento do Sapucaí,0
1KME5853N8805,São Bento do Sapucaí,0
1KME5854N8755,Taubaté,0
1KME5854N8756,Taubaté,0
1KME5854N8757,Taubaté,0
1KME5854N8758,Taubaté,0
1KME5854N8759,Taubaté,0
1KME5854N8760,Taubaté,0
1KME5854N8761,Taubaté,0
1KME5854N8762,Taubaté,0
1KME5854N8763,Tremembé,0
1KME5854N8764,Tremembé,0
1KME5854N8771,Santo Antônio do Pinhal,0
1KME5854N8772,Santo Antônio do Pinhal,0
1KME5854N8773,Santo Antônio do Pinhal,0
1KME5854N8774,Santo Antônio do Pinhal,0
