geocode,Municipio,value
1KME5882N8790,Guaratinguetá,"0,73"
1KME5883N8787,Guaratinguetá,"0,73"
1KME5883N8788,Guaratinguetá,"0,73"
1KME5883N8789,Guaratinguetá,"0,73"
1KME5883N8790,Guaratinguetá,"0,73"
1KME5883N8791,Guaratinguetá,"0,73"
1KME5883N8792,Guaratinguetá,"0,73"
1KME5884N8787,Guaratinguetá,"0,73"
1KME5884N8788,Guaratinguetá,"0,73"
1KME5884N8789,Guaratinguetá,"0,73"
1KME5884N8790,Guaratinguetá,"0,73"
1KME5884N8791,Guaratinguetá,"0,73"
1KME5884N8792,Guaratinguetá,"0,73"
1KME5884N8793,Guaratinguetá,"0,73"
1KME5885N8782,Guaratinguetá,"0,73"
1KME5885N8783,Guaratinguetá,"0,73"
1KME5885N8784,Guaratinguetá,"0,73"
1KME5885N8786,Guaratinguetá,"0,73"
1KME5885N8787,Guaratinguetá,"0,73"
1KME5885N8788,Guaratinguetá,"0,73"
1KME5885N8789,Guaratinguetá,"0,73"
1KME5885N8790,Guaratinguetá,"0,73"
1KME5885N8791,Guaratinguetá,"0,73"
1KME5885N8792,Guaratinguetá,"0,73"
1KME5885N8793,Guaratinguetá,"0,73"
1KME5885N8794,Guaratinguetá,"0,73"
1KME5886N8781,Guaratinguetá,"0,73"
1KME5886N8782,Guaratinguetá,"0,73"
1KME5886N8783,Guaratinguetá,"0,73"
1KME5886N8784,Guaratinguetá,"0,73"
1KME5886N8785,Guaratinguetá,"0,73"
1KME5886N8786,Guaratinguetá,"0,73"
1KME5886N8787,Guaratinguetá,"0,73"
1KME5886N8788,Guaratinguetá,"0,73"
1KME5886N8789,Guaratinguetá,"0,73"
1KME5886N8790,Guaratinguetá,"0,10"
1KME5886N8791,Guaratinguetá,"0,73"
1KME5886N8792,Guaratinguetá,"0,73"
1KME5886N8793,Guaratinguetá,"0,73"
1KME5886N8794,Guaratinguetá,"0,73"
1KME5886N8795,Guaratinguetá,"0,73"
1KME5886N8796,Guaratinguetá,"0,73"
1KME5887N8781,Guaratinguetá,"0,73"
1KME5887N8782,Guaratinguetá,"0,73"
1KME5887N8783,Guaratinguetá,"0,73"
1KME5887N8784,Guaratinguetá,"0,73"
1KME5887N8785,Guaratinguetá,"0,73"
